season,adp_source,true_adp,episode,seed,draft_slot,strategy,management_mode,regular_rank,regular_wins,points,made_playoffs,champion
2023,Fantasy Football Calculator ADP,True,0,93230000,1,adp,frozen_lineup,12,2.0,937.1999999999999,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,adp,weekly_lineups,11,4.0,1117.5599999999997,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,adp,lineups_plus_waivers,7,7.0,1229.34,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,target_intel,frozen_lineup,4,9.0,1162.9199999999998,True,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,target_intel,weekly_lineups,4,9.0,1255.44,True,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,target_intel,lineups_plus_waivers,5,8.0,1270.6399999999999,True,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,model_only,frozen_lineup,10,5.0,1079.26,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,model_only,weekly_lineups,7,7.0,1137.72,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,model_only,lineups_plus_waivers,7,7.0,1125.7199999999998,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,adp,frozen_lineup,11,4.0,992.22,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,adp,weekly_lineups,12,4.0,1032.66,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,adp,lineups_plus_waivers,12,3.0,1026.08,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,target_intel,frozen_lineup,6,7.0,1238.1400000000003,True,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,target_intel,weekly_lineups,4,7.0,1328.96,True,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,target_intel,lineups_plus_waivers,4,8.0,1300.06,True,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,model_only,frozen_lineup,5,9.0,1110.4199999999998,True,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,model_only,weekly_lineups,7,7.0,1097.14,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,model_only,lineups_plus_waivers,6,8.0,1130.22,True,True
2023,Fantasy Football Calculator ADP,True,2,93230002,3,adp,frozen_lineup,12,4.0,928.8,False,False
2023,Fantasy Football Calculator ADP,True,2,93230002,3,adp,weekly_lineups,11,4.0,1090.1000000000001,False,False
