num_teams,qb_slots,rb_slots,wr_slots,flex_slots,strategy,starter_points,avg_rank,win_rate,top3_rate,episodes
10,1,1,2,0,adp,1254.931111111111,4.666666666666667,0.2222222222222222,0.2222222222222222,9
10,1,1,2,0,adp_guarded,1251.2933333333333,4.111111111111111,0.0,0.4444444444444444,9
10,1,1,2,0,vbd,1202.84,5.111111111111111,0.0,0.2222222222222222,9
10,1,1,2,0,catboost,1190.331111111111,5.777777777777778,0.0,0.2222222222222222,9
10,1,1,2,1,adp_guarded,1530.6515789473685,3.0526315789473686,0.3684210526315789,0.7368421052631579,19
10,1,1,2,1,adp,1522.478947368421,3.3684210526315788,0.3684210526315789,0.5789473684210527,19
10,1,1,2,1,vbd,1461.0473684210526,4.684210526315789,0.15789473684210525,0.42105263157894735,19
10,1,1,2,1,catboost,1348.0978947368421,7.578947368421052,0.0,0.10526315789473684,19
10,1,1,2,2,adp_guarded,1723.0088888888888,2.0,0.4444444444444444,0.8888888888888888,9
10,1,1,2,2,adp,1631.0088888888888,5.0,0.1111111111111111,0.3333333333333333,9
10,1,1,2,2,vbd,1576.6377777777777,5.777777777777778,0.0,0.2222222222222222,9
10,1,1,2,2,catboost,1540.3244444444445,6.444444444444445,0.0,0.3333333333333333,9
10,1,1,2,3,adp,1883.7066666666667,2.5,0.16666666666666666,0.8333333333333334,6
10,1,1,2,3,adp_guarded,1852.47,3.8333333333333335,0.3333333333333333,0.5,6
10,1,1,2,3,vbd,1742.2066666666667,6.166666666666667,0.0,0.16666666666666666,6
10,1,1,2,3,catboost,1671.5533333333333,7.333333333333333,0.0,0.0,6
10,1,1,3,1,adp,1646.0742857142857,4.142857142857143,0.14285714285714285,0.5714285714285714,7
10,1,1,3,1,adp_guarded,1621.9542857142858,4.428571428571429,0.0,0.42857142857142855,7
10,1,1,3,1,vbd,1562.7085714285715,6.142857142857143,0.0,0.0,7
10,1,1,3,1,catboost,1529.6171428571429,6.428571428571429,0.0,0.14285714285714285,7
10,1,1,3,2,adp_guarded,1761.7733333333333,6.0,0.0,0.3333333333333333,3
10,1,1,3,2,catboost,1703.0600000000002,7.0,0.0,0.0,3
10,1,1,3,2,vbd,1658.2533333333333,7.0,0.0,0.0,3
10,1,1,3,2,adp,1656.3866666666665,7.666666666666667,0.0,0.3333333333333333,3
10,1,2,2,0,adp_guarded,1506.5657142857144,3.342857142857143,0.22857142857142856,0.6285714285714286,35
10,1,2,2,0,adp,1473.8628571428571,4.4,0.17142857142857143,0.45714285714285713,35
10,1,2,2,0,vbd,1463.1491428571428,4.371428571428571,0.05714285714285714,0.4,35
10,1,2,2,0,catboost,1395.865142857143,6.228571428571429,0.05714285714285714,0.17142857142857143,35
10,1,2,2,1,adp_guarded,1687.5076811594204,3.8550724637681157,0.21014492753623187,0.5434782608695652,138
10,1,2,2,1,adp,1645.1634782608696,4.804347826086956,0.16666666666666666,0.36231884057971014,138
10,1,2,2,1,vbd,1619.7485507246377,4.978260869565218,0.07246376811594203,0.34782608695652173,138
10,1,2,2,1,catboost,1548.4040579710145,6.753623188405797,0.014492753623188406,0.11594202898550725,138
10,1,2,2,2,adp_guarded,1895.4606896551725,3.2586206896551726,0.3103448275862069,0.6379310344827587,58
10,1,2,2,2,adp,1844.3686206896552,3.9482758620689653,0.20689655172413793,0.5,58
10,1,2,2,2,vbd,1749.709655172414,5.896551724137931,0.05172413793103448,0.22413793103448276,58
10,1,2,2,2,catboost,1713.6624137931035,6.9655172413793105,0.034482758620689655,0.08620689655172414,58
10,1,2,2,3,adp_guarded,2077.0644444444442,2.5555555555555554,0.0,0.8888888888888888,9
10,1,2,2,3,adp,1934.4155555555553,5.222222222222222,0.0,0.3333333333333333,9
10,1,2,2,3,catboost,1909.4644444444446,5.444444444444445,0.1111111111111111,0.2222222222222222,9
10,1,2,2,3,vbd,1871.1599999999999,5.888888888888889,0.0,0.0,9
10,1,2,3,0,adp,1649.5584615384614,4.538461538461538,0.34615384615384615,0.5,26
10,1,2,3,0,adp_guarded,1647.5223076923078,4.115384615384615,0.15384615384615385,0.5,26
10,1,2,3,0,catboost,1569.7676923076922,5.5,0.07692307692307693,0.23076923076923078,26
10,1,2,3,0,vbd,1560.503846153846,5.653846153846154,0.038461538461538464,0.3076923076923077,26
10,1,2,3,1,adp_guarded,1877.4147826086958,3.5,0.1956521739130435,0.5869565217391305,46
10,1,2,3,1,adp,1822.854347826087,4.391304347826087,0.17391304347826086,0.32608695652173914,46
10,1,2,3,1,catboost,1732.471304347826,5.978260869565218,0.0,0.17391304347826086,46
10,1,2,3,1,vbd,1705.6491304347826,6.434782608695652,0.0,0.08695652173913043,46
10,1,2,3,2,adp_guarded,2013.1788235294118,3.4705882352941178,0.29411764705882354,0.5882352941176471,17
10,1,2,3,2,adp,1982.0894117647058,4.529411764705882,0.23529411764705882,0.5294117647058824,17
10,1,2,3,2,vbd,1845.914117647059,6.352941176470588,0.0,0.17647058823529413,17
10,1,2,3,2,catboost,1830.7576470588235,7.352941176470588,0.0,0.058823529411764705,17
10,1,2,3,3,adp_guarded,2174.67,2.6666666666666665,0.3333333333333333,0.6666666666666666,6
10,1,2,3,3,adp,2096.7999999999997,4.5,0.16666666666666666,0.3333333333333333,6
10,1,2,3,3,catboost,1911.8266666666666,8.0,0.0,0.16666666666666666,6
10,1,2,3,3,vbd,1875.2533333333333,8.0,0.0,0.16666666666666666,6
10,1,3,2,0,adp,1743.88,4.333333333333333,0.3333333333333333,0.3333333333333333,3
10,1,3,2,0,adp_guarded,1632.0733333333335,4.666666666666667,0.3333333333333333,0.3333333333333333,3
10,1,3,2,0,vbd,1571.1333333333332,6.333333333333333,0.0,0.0,3
10,1,3,2,0,catboost,1535.5466666666664,7.333333333333333,0.0,0.0,3
10,1,3,2,1,adp_guarded,1872.12125,3.4375,0.25,0.5625,16
10,1,3,2,1,adp,1789.46125,5.0625,0.125,0.3125,16
10,1,3,2,1,catboost,1723.77125,6.4375,0.0625,0.125,16
10,1,3,2,1,vbd,1693.16,6.3125,0.0,0.0625,16
10,1,3,2,2,adp_guarded,2016.3927272727271,3.0,0.09090909090909091,0.7272727272727273,11
10,1,3,2,2,adp,1993.2272727272727,3.3636363636363638,0.2727272727272727,0.5454545454545454,11
10,1,3,2,2,vbd,1877.38,6.545454545454546,0.0,0.2727272727272727,11
10,1,3,2,2,catboost,1846.0381818181816,6.545454545454546,0.0,0.18181818181818182,11
10,1,3,2,3,adp_guarded,2179.42,2.0,0.0,1.0,1
10,1,3,2,3,adp,2124.2,2.0,0.0,1.0,1
10,1,3,2,3,catboost,1869.1,9.0,0.0,0.0,1
10,1,3,2,3,vbd,1780.7,10.0,0.0,0.0,1
10,1,3,3,0,adp_guarded,1892.0533333333333,2.6666666666666665,0.0,0.6666666666666666,3
10,1,3,3,0,adp,1781.006666666667,5.0,0.0,0.3333333333333333,3
10,1,3,3,0,catboost,1770.9133333333332,4.666666666666667,0.0,0.3333333333333333,3
10,1,3,3,0,vbd,1679.6266666666668,7.0,0.0,0.0,3
10,1,3,3,1,adp_guarded,2016.8600000000001,3.1538461538461537,0.38461538461538464,0.6923076923076923,13
10,1,3,3,1,adp,2010.0184615384617,3.5384615384615383,0.07692307692307693,0.5384615384615384,13
10,1,3,3,1,catboost,1921.0784615384616,4.6923076923076925,0.15384615384615385,0.46153846153846156,13
10,1,3,3,1,vbd,1835.4415384615386,6.846153846153846,0.0,0.0,13
10,1,3,3,2,adp_guarded,2121.217777777778,3.4444444444444446,0.3333333333333333,0.5555555555555556,9
10,1,3,3,2,adp,2053.8488888888887,5.333333333333333,0.1111111111111111,0.2222222222222222,9
10,1,3,3,2,vbd,2017.3866666666665,5.888888888888889,0.1111111111111111,0.4444444444444444,9
10,1,3,3,2,catboost,1961.993333333333,6.777777777777778,0.0,0.2222222222222222,9
10,2,1,2,0,vbd,1526.47,2.5,0.0,1.0,2
10,2,1,2,0,catboost,1477.37,3.5,0.0,0.5,2
10,2,1,2,0,adp_guarded,1422.52,5.0,0.0,0.0,2
10,2,1,2,0,adp,1401.3000000000002,5.5,0.0,0.0,2
10,2,1,2,1,adp_guarded,1821.5466666666669,2.6666666666666665,0.3333333333333333,0.6666666666666666,3
10,2,1,2,1,vbd,1769.6933333333334,3.0,0.0,0.6666666666666666,3
10,2,1,2,1,adp,1669.14,4.666666666666667,0.0,0.3333333333333333,3
10,2,1,2,1,catboost,1666.2733333333333,4.0,0.0,0.3333333333333333,3
10,2,1,2,2,adp_guarded,2049.2,1.5,0.5,1.0,2
10,2,1,2,2,vbd,1846.79,5.5,0.0,0.0,2
10,2,1,2,2,adp,1821.91,6.0,0.0,0.5,2
10,2,1,2,2,catboost,1803.22,6.0,0.0,0.0,2
10,2,1,3,1,vbd,1911.3,4.0,0.0,0.0,1
10,2,1,3,1,adp,1879.14,4.0,0.0,0.0,1
10,2,1,3,1,adp_guarded,1732.74,5.0,0.0,0.0,1
10,2,1,3,1,catboost,1632.34,9.0,0.0,0.0,1
10,2,2,2,0,vbd,1862.2466666666667,2.3333333333333335,0.3333333333333333,0.6666666666666666,3
10,2,2,2,0,adp_guarded,1763.1599999999999,3.3333333333333335,0.0,0.6666666666666666,3
10,2,2,2,0,catboost,1759.6000000000001,3.3333333333333335,0.3333333333333333,0.3333333333333333,3
10,2,2,2,0,adp,1623.54,6.0,0.0,0.3333333333333333,3
10,2,2,2,1,adp_guarded,1932.7675,4.4375,0.3125,0.4375,16
10,2,2,2,1,catboost,1929.4375,3.6875,0.1875,0.4375,16
10,2,2,2,1,vbd,1889.8375,4.125,0.125,0.625,16
10,2,2,2,1,adp,1831.68375,5.25,0.3125,0.4375,16
10,2,2,2,2,catboost,2086.26,3.4,0.4,0.6,5
10,2,2,2,2,vbd,2047.6239999999998,3.6,0.2,0.4,5
10,2,2,2,2,adp,1915.152,7.4,0.0,0.0,5
10,2,2,2,2,adp_guarded,1913.416,5.8,0.2,0.2,5
10,2,2,3,0,vbd,1909.9066666666665,3.0,0.3333333333333333,0.3333333333333333,3
